"FacilityID","Name","Street","City","State","ZipCode","Geo","YelpID","YelpPhone","YelpCategories","YelpURL","YelpImageUrl","YelpRaiting","YelpReviewCount","Score","InspectionDate"
11341790,"Hill-Bert's Burgers","5340 CAMERON RD","AUSTIN","TX",78723,"(30.312016614886176, -97.70690091945397)","WaBLzZlA1PtyYTFjYa6F4g","+15123713717","Fast Food,Burgers","https://www.yelp.com/biz/hill-berts-burgers-austin-2?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media1.fl.yelpcdn.com/bphoto/TPiOXW1d87JZ9OSq8utxkg/o.jpg",4,61,82,"2018-10-01"
11346224,"Wonder Years Infant Center & Preschool","4804 GROVER AVE","AUSTIN","TX",78756,"(30.318321113088388, -97.73758560060203)","yPaIxuLZaSUSLPG4CzPWpw","+18559001337","Preschools,Child Care & Day Care","https://www.yelp.com/biz/wonder-years-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media1.fl.yelpcdn.com/bphoto/_SsISJO3PAZ3mXVCpq0AEQ/o.jpg",4,5,100,"2018-08-15"
11346382,"Four Seasons Hotel Austin","98 SAN JACINTO BLVD","AUSTIN","TX",78701,"(30.262327326029872, -97.74233106676363)","0ABraNehd1Vwb83-PFdXDw","+15124784500","Hotels","https://www.yelp.com/biz/four-seasons-hotel-austin-austin-3?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media3.fl.yelpcdn.com/bphoto/sII_gBCJfXd_dYgLuHFU7A/o.jpg",4,178,88,"2018-02-07"
11337778,"MOD Super Fast Pizza","11521 N FM 620 RD","AUSTIN","TX",78726,"(30.45466085812116, -97.82589582349742)","Not Found","","","","","","",92,"2018-09-14"
11348400,"McDonald's Restaurant at Metric","12443 METRIC BLVD","AUSTIN","TX",78758,"(30.412540438841177, -97.69057237024667)","TMvqgRoTeNroRMi8jzrwwQ","+15128368709","Fast Food,Burgers,Coffee & Tea","https://www.yelp.com/biz/mcdonalds-austin-11?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media4.fl.yelpcdn.com/bphoto/dMST7DF9AIyr4aXvdEg5GA/o.jpg",3,35,96,"2018-08-28"
11348428,"Austin YMBL Sunshine Camp","2225 ANDREW ZILKER RD","AUSTIN","TX",78746,"(30.265249334976865, -97.77416617447865)","Not Found","","","","","","",96,"2018-07-23"
11348526,"7-Eleven Convenience Store #36265A","11587 JOLLYVILLE RD","AUSTIN","TX",78759,"(30.416345529722516, -97.74856618730614)","Not Found","","","","","","",86,"2018-04-23"
11349581,"Fiesta Mart - Meat and Seafood","5510 S IH","AUSTIN","TX",78745,"(30.20044689469362, -97.76445012221403)","Not Found","","","","","","",85,"2018-06-07"
11349728,"Fiesta Mart - Bakery/Deli","5510 S IH","AUSTIN","TX",78745,"(30.20044689469362, -97.76445012221403)","Not Found","","","","","","",94,"2018-06-07"
11330041,"BC - Sonesta Bee Cave","12525 BEE CAVE PKWY","BEE CAVE","TX",78738,"(30.309709129706167, -97.93543047972575)","UYc-7K-dTvXCmGA1fjJyZw","+15124835900","Hotels","https://www.yelp.com/biz/sonesta-bee-cave-austin-bee-cave?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media2.fl.yelpcdn.com/bphoto/knYWYPg9evJK91t31aTO7w/o.jpg",3,59,91,"2018-09-28"
11336728,"BC - Rocco's Grill","12432 FM 2244 RD","BEE CAVE","TX",78738,"(30.305562435189564, -97.93377048831756)","HGkH5AOx-OdVB12oYBVduQ","+15124020007","Mexican","https://www.yelp.com/biz/el-arroyo-bee-cave?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media2.fl.yelpcdn.com/bphoto/JGOHV5YHX80Dd9WOiyOplQ/o.jpg",3,11,88,"2018-05-29"
11341731,"Proof & Cooper","18800 HAMILTON POOL RD","AUSTIN","TX",78738,"(30.286827755561397, -98.0647180966792)","ST8KxN5Lg8T4muVyC4TH8w","+15122641014","Cocktail Bars,American (New)","https://www.yelp.com/biz/proof-and-cooper-dripping-springs?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media1.fl.yelpcdn.com/bphoto/eiSNaLGghpbbXfGkuBN7xw/o.jpg",4,152,85,"2018-10-13"
11348918,"Buttercup Chevron","14815 DESSAU RD","PFLUGERVILLE","TX",78660,"(30.420459157844782, -97.6285136459696)","SnGwugwk5y0ABbKRYmZecQ","+15126700990","Gas Stations","https://www.yelp.com/biz/chevron-pflugerville-2?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media2.fl.yelpcdn.com/bphoto/Qc1PlxYBxmTaTG7o7Dq_cQ/o.jpg",3,8,85,"2018-10-01"
11351212,"McDonalds #11828","10732 RESEARCH BLVD","AUSTIN","TX",78759,"(30.399148648687408, -97.74684670721385)","ogqEyWxYJviPpPUEb4DRQw","+15123465440","Fast Food,Burgers,Coffee & Tea","https://www.yelp.com/biz/mcdonalds-austin-43?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media2.fl.yelpcdn.com/bphoto/V-lBE1ngue8R6vzkpZ667w/o.jpg",3,61,96,"2018-07-11"
11353668,"Michi Ramen","3005 S LAMAR BLVD","AUSTIN","TX",78704,"(30.241345371569512, -97.78373739407446)","t2OSdT_yrpi0lWPrvs6UMg","+15123946350","Ramen,Noodles,Soup","https://www.yelp.com/biz/michi-ramen-austin-2?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media2.fl.yelpcdn.com/bphoto/W72xBNBKXSAvNkCkxkxyMA/o.jpg",4,170,87,"2018-03-01"
11357857,"Chef Vi's Catering","8863 ANDERSON MILL RD","AUSTIN","TX",78729,"(30.453812428777184, -97.77332920712294)","fW9OzB89ctrZqVXjfkZQpA","+15124012433","Caterers","https://www.yelp.com/biz/chef-vis-catering-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media3.fl.yelpcdn.com/bphoto/gfpi1g1aKgzaKzOjxOGP8w/o.jpg",5,11,98,"2018-03-15"
